I apologize for the oversight in the numbering and continuity of the Short Answer questions in the previous response. Here is the complete and corrected list of 54 practice short answer questions, covering all necessary topics for your final exam.
Practice Short Answer Questions (54 Questions Total)
Topic 1: ML Introduction, Data, and Preprocessing (12 Questions)
ID
	Topic
	Define the Manhattan distance ($L_1$ norm) and the Euclidean distance ($L_2$ norm) using the general Minkowski distance formula, and explain what metric property helps reduce distance computations.
	Manhattan distance is the $L_1$ norm ($p=1$), also called the city block distance. Euclidean distance is the $L_2$ norm ($p=2$). The distance measure is a metric if it satisfies Positive-definiteness, Symmetry, and the Triangle Inequality. The Symmetry property ($d(i, j) = d(j, i)$) can be exploited to reduce computations because not all pairs need to be computed twice. The Triangle Inequality can also be used to accelerate/approximate computations.
	Topic 2: Supervised Learning Methods (18 Questions)
ID
	Topic
	Question
	Reasoning
	SA 13
	Linear Regr.
	Outline the key steps of training Linear Regression using the Batch Gradient Descent (BGD) algorithm.
	BGD starts with an initial guess for parameters $\theta$. It iteratively computes the gradient of the cost function $J(\theta)$ based on all training examples. It then updates the parameters $\theta_j$ simultaneously by taking a step proportional to the negative of the gradient scaled by the learning rate $\alpha$. This repeats until convergence.
	SA 14
	Gradient Desc.
	Compare and contrast Stochastic Gradient Descent (SGD) and Batch Gradient Descent (BGD) based on computational cost per update and typical convergence behavior.
	BGD looks at every example in the entire training set on every step, making it computationally expensive if the dataset is large. SGD updates parameters based on the gradient of a single training example, making it faster and more lightweight per update. SGD can start making progress right away, often getting $\theta$ close to the minimum faster than BGD, though it is generally more sensitive to the learning rate $\alpha$.
	SA 15
	Evaluation
	Define overfitting in the context of supervised learning, explain why it is problematic, and mention one structural method to prevent it in decision trees.
	Overfitting happens when the model fits almost perfectly the training data but may not be able to generalize to new unseen examples. It is problematic because it leads to poor accuracy for unseen samples. A method to prevent it in decision trees is Postpruning, which involves removing branches from a "fully grown" tree using a separate set of data to decide the best pruned tree.
	SA 16
	Naïve Bayes
	Explain the main assumption of the Naïve Bayes classifier and discuss why, despite this known inaccuracy, the classifier is often effective in practice.
	The main assumption is that features are conditionally independent given the class. This assumption is approximate and often inaccurate (as dependencies exist among variables in real data). However, the assumption simplifies computation significantly (allowing the calculation of $P(X
	SA 17
	Naïve Bayes
	Describe the Zero Probability Problem in Naïve Bayes and the technique used to solve it.
	The Zero Probability Problem occurs when a conditional probability $P(X_k
	SA 18
	k-NN
	Explain the difference between Eager and Lazy learning methods, and provide an advantage of each.
	Eager learning (e.g., Decision Trees) constructs a classification model (hypothesis) before receiving new test data. An advantage is less time spent in predicting/classification compared to lazy methods. Lazy learning (e.g., k-NN) simply stores the training data and delays processing until a test instance is given. An advantage is that lazy methods use a richer hypothesis space because they form an implicit global approximation using many local functions.
	SA 19
	SVM
	Describe the core goal of Support Vector Machines (SVMs) and define the role of the support vectors.
	The core goal is to find the linear decision boundary (hyperplane) that maximizes the margin (the distance between the boundary and the nearest training points). Maximizing the margin is equivalent to minimizing the magnitude of the weight vector $
	SA 20
	SVM
	Explain the role of the Kernel Trick in enabling SVMs to handle non-linearly separable data.
	The Kernel Trick allows SVMs to handle non-linearly separable data by implicitly mapping the data to a higher dimension (or feature space) where separation might become linear. Instead of performing this computationally hard transformation on the data, the kernel function $k(x_i, x_j)$ is substituted for the dot product ($\langle x_i, x_j \rangle$) in the dual optimization problem.
	SA 21
	Logistic Regr.
	Describe how Logistic Regression is trained using maximum likelihood estimation. Why is the resulting update rule similar to the LMS rule for Linear Regression?
	Logistic Regression is trained by maximizing the log-likelihood $\ell(\theta)$ of the observed data. Since it maximizes, it uses gradient ascent ($\theta := \theta + \alpha \nabla_\theta \ell(\theta)$). The resulting update rule for a single training example, $\theta_j := \theta_j + \alpha (y^{(i)} - h_\theta(x^{(i)})) x_j$, is identical in form to the LMS (Widrow-Hoff) learning rule for Linear Regression, although the hypothesis function $h_\theta(x)$ is non-linear.
	SA 22
	Regularization
	Compare Ridge ($L_2$) and Lasso ($L_1$) regularization in terms of the penalty term they apply to the coefficients ($\theta$) and the resulting effect on the coefficient values.
	Ridge Regression applies an $L_2$ penalty (sum of squared coefficients, $\sum \beta_j^2$). This shrinks coefficients toward zero and gives small but non-zero values. Lasso Regression applies an $L_1$ penalty (sum of absolute values of coefficients, $\sum
	SA 23
	Decision Trees
	Explain the purpose of the Gain Ratio criterion (C4.5) and why it was introduced as an improvement over the Information Gain (ID3) criterion.
	The Information Gain criterion is biased towards attributes with a large number of values (e.g., a unique ID feature). The Gain Ratio (used in C4.5) was introduced to overcome this bias. It normalizes the Information Gain by the "SplitInfo" of the split itself (the entropy of the split), penalizing attributes that lead to many output nodes.
	SA 24
	Ensemble
	Describe two ways a Random Forest classifier introduces randomness during training and explain how it makes a final prediction.
	Random Forest introduces randomness by: 1. Training each tree on a random bootstrap sample of the training data. 2. At each node split, considering only a random selection of features. The final prediction is made by combining decisions through a majority vote among all the individual decision trees.
	SA 25
	Ensemble
	How can Random Forest be used to rank features by importance?
	Random Forest can rank features by importance by measuring the difference in the error (specifically, the out-of-bag error) between the original data and a version where the values of the feature being assessed are randomly permuted ("scrambled"). A larger increase in error when a feature is scrambled indicates higher importance.
	SA 26
	Ensemble
	What is the primary motivation for using ensemble methods? Provide two examples of ensemble methods.
	The primary motivation for ensemble methods is to use a ** combination of models (weak learners)** to increase overall accuracy and create an improved model $M^*$. Two popular examples are Bagging (Bootstrap Aggregation) and Random Forest.
	SA 27
	Neural Nets
	What activation function in the perceptron gives us (a) linear regression, and (b) logistic regression?
	(a) If the activation function is $f(x)=x$, the perceptron performs linear regression. (b) If the activation function is the logistic function (sigmoid function) $g(z) = 1/(1 + e^{-z})$, the perceptron performs logistic regression.
	SA 28
	k-NN
	What two important dimensions should be considered when comparing instance-based (lazy) learning versus model-based (eager) learning?
	Two important dimensions to consider are (a) efficiency (time spent in training versus time spent in prediction) and (b) flexibility of decision boundaries.
	SA 29
	Evaluation
	Explain the necessity of using the $t$-test for statistical significance when comparing the performance of two classifiers ($M_1$ and $M_2$).
	The mean error rates obtained from cross-validation are just estimates of the error on the true population. The $t$-test is necessary to test the Null Hypothesis (e.g., that $M_1$ and $M_2$ perform the same) to determine if the observed difference in error rates is statistically significant or simply attributed to chance.
	SA 30
	Evaluation
	Explain the fundamental difference between the Bias of an estimator and the Variance of an estimator.
	Bias measures the difference between the expected prediction of the estimator, $\text{E}[h(x)]$, and the true value, $y$, where we seek unbiased estimators where $\text{E}[h(x)] = y$. Variance measures the spread or variability of the predictions around the estimator's mean, $\text{E}[(h(x) - \text{E}[h(x)])^2]$.
	Topic 3: Unsupervised Learning Methods (19 Questions)
ID
	Topic
	Question
	Reasoning
	SA 31
	K-Means
	Describe the goal of the K-means clustering algorithm and specify the distance measure and cluster representative used.
	The goal is to partition a database $D$ into $K$ clusters such that the Sum of Squared Errors (SSE) is minimized. K-means uses the Euclidean distance and represents each cluster by its centroid (the mean of all points in the cluster).
	SA 32
	K-Means
	Explain the Elbow Method (Knee Finding) used to estimate the optimal number of clusters $K$.
	The Elbow Method plots the SSE (Sum of Squared Errors) as a function of $K$. As $K$ increases, SSE naturally decreases. The optimal $K$ is typically found at the point where diminishing returns are observed—where the error starts decreasing at a much slower rate, forming a "knee" or "elbow" in the curve.
	SA 33
	Evaluation
	Define the Silhouette Coefficient and explain what its value indicates regarding the quality of clustering for a given object.
	The Silhouette Coefficient is an intrinsic measure that quantifies the similarity of an object to objects within its own cluster (cohesion, $a(i)$) versus objects in other clusters (separation, $b(i)$). It ranges from -1 to 1. A score close to +1 indicates the object is well-clustered (high cohesion/good separation).
	SA 34
	K-Means
	Explain why K-means clustering is generally considered highly sensitive to outliers, whereas K-medoids might be more robust.
	K-means is sensitive to outliers because it uses the mean (centroid) as the cluster representative. Since the mean can be substantially distorted by extreme values (outliers), the resulting SSE will be dramatically increased. K-medoids uses the medoid (an actual data object minimizing average dissimilarity), which is inherently more robust to outliers than the mean.
	SA 35
	K-Medoids
	Describe the key operational difference between K-means (Lloyd's algorithm) and K-medoids (PAM).
	K-means is a heuristic method where the cluster center is the centroid (the mean, which may not be an actual data point). K-medoids (PAM) is a heuristic method where the cluster center is the medoid, which is an actual data object in the cluster.
	SA 36
	Evaluation
	Define the constraints of Cluster Homogeneity and Cluster Completeness, and explain why they are considered fundamental restrictions for evaluation metrics.
	Cluster Homogeneity requires that clusters should not mix items belonging to different categories (the purer, the better). Cluster Completeness requires that objects belonging to the same category should be grouped in the same cluster. They are considered the most basic restrictions that any evaluation metric must hold, referring to the goals of keeping same-category items together and different-category items apart.
	SA 37
	Hierarchical
	Outline the two main operational differences between Agglomerative (AGNES) and Divisive (DIANA) hierarchical clustering approaches.
	1. Direction: AGNES is bottom-up (starts with all points in separate clusters and merges them). DIANA is top-down (starts with all objects in one cluster and recursively splits them). 2. Operation: AGNES merges nodes with the least dissimilarity. DIANA splits clusters based on criteria, typically using greedy heuristics to reduce complexity instead of searching for the optimal split.
	SA 38
	Hierarchical
	How is Single Linkage distance calculated between two clusters $K_i$ and $K_j$, and what effect does this method have on the resulting clusters?
	Single Linkage distance is the smallest distance between an element in cluster $K_i$ and an element in cluster $K_j$. By focusing on local proximity, single linkage clustering tends to find clusters based on local similarities/patterns.
	SA 39
	Dim. Reduction
	Describe the role of Matrix Factorization (e.g., using SVD) in Dimensionality Reduction, relating it to the Eckart Young Theorem.
	SVD decomposes the data matrix $X$ into lower rank matrices, effectively projecting the data into a low-dimensional latent space. The Eckart Young Theorem guarantees that the truncated SVD (keeping the first $r$ singular vectors/values) provides the best rank $r$ approximation of the original data that minimizes the squared error.
	SA 40
	SVD
	Explain how Latent Semantic Indexing (LSI) uses SVD to handle queries against a document collection.
	LSI uses SVD to map documents and queries into a lower-dimensional "concept space". A query vector, initially in keyword space, is transformed into a "concept vector" in the LSI space by multiplying it by the SVD matrices derived from the term-document matrix. Similarity (e.g., cosine similarity) is then calculated in this reduced concept space.
	SA 41
	Data Dist
	In the context of clustering, explain why the Jaccard similarity coefficient is preferred over the Simple Matching Coefficient (SMC) when comparing highly asymmetric binary attributes (e.g., two customer shopping carts).
	The SMC is suitable for symmetric binary attributes. For highly asymmetric data (where most items are $0/0$ matches), the SMC would be overwhelmed by the vast number of non-contained items (null entries), resulting in an artificially high, irrelevant similarity. The Jaccard similarity coefficient ignores $0/0$ matches and focuses only on shared presence and total presence (non-zero entries), making it suitable for asymmetric data.
	SA 42
	Advanced Unsup.
	Describe the architecture and primary function of an Autoencoder.
	An Autoencoder is a neural network used for dimensionality reduction. It follows a general Encoder/Decoder architecture. The Encoder maps the high-dimensional input to a low-dimensional representation (the bottleneck layer), and the Decoder attempts to reconstruct the original input from that low-dimensional representation.
	SA 43
	Evaluation
	Explain the purpose of the Hopkins Statistic and what a value close to 1 indicates.
	The Hopkins Statistic is used to assess clustering tendency (if non-random structure exists in the data). It measures how far away the data distribution is from being uniformly distributed. If the statistic $H$ is close to 1, it suggests the data is highly clustered.
	SA 44
	Neural Nets
	Why are Convolutional Neural Networks (CNNs) generally more efficient to train for image tasks than traditional fully-connected Multi-layer Perceptrons?
	CNNs are more efficient because they drastically reduce the number of parameters compared to fully-connected layers. This parameter reduction occurs because convolutional filters share weights across spatial locations, whereas a fully connected layer would require a weight for every input unit connected to every output unit.
	SA 45
	Adv. Unsup.
	Describe the goal of Collaborative Filtering and how Matrix Factorization is used to achieve this goal.
	The goal of Collaborative Filtering is to recommend new items based on a user’s viewing or rating pattern (e.g., recommend new movies). Matrix Factorization approximates the User-Item interaction matrix $X$ as $X \approx U V^T$, where $U$ and $V$ hold low-rank representations of users and items, respectively. Predictions for unseen ratings are made by calculating the dot product of the corresponding user and item latent factor vectors.
	SA 46
	DBSCAN
	In the context of DBSCAN, explain what a point labeled as "noise" means.
	A point labeled as "noise" is a point that is not a core point (does not meet the $MinPts$ condition in its $Eps$-neighborhood) and is not density-reachable from any core point. Such points are considered potential outliers.
	SA 47
	Evaluation
	Describe the process of using crowdsourcing (Human Intelligence Tasks/HITs) to evaluate the quality of topics learned by a Topic Model (Extrinsic Evaluation).
	This involves tasks like Word Intrusion or Topic Intrusion. Human judges are given a set of words/topics (e.g., extracted by the model) and are asked to detect an injected intruder word or topic. If judges can successfully detect the intruder, it indicates that the learned topics are coherent and of good quality.
	SA 48
	Supervised
	Why is Naive Bayes classification considered a generative model, while Logistic Regression is considered a discriminative model?
	Naive Bayes is a generative model because it learns the joint probability distribution by modeling **$P(X
	SA 49
	Hierarchical
	Explain why using Single Linkage hierarchical clustering is mathematically equivalent to solving the Minimum Spanning Tree (MST) problem.
	It has been shown that the two problems are equivalent. The definition of distance in Single Linkage (minimum distance between elements in two clusters) links points based on the same local proximity criteria used to connect vertices with minimal weight edges to construct the Minimum Spanning Tree.
	Topic 4: Frequent Pattern Mining & Association Rules (5 Questions)
ID
	Topic
	Question
	Reasoning
	SA 50
	Freq. Patterns
	Outline the purpose of Max-Patterns and explain why mining them is preferable to mining all frequent itemsets when the minimum support threshold is low.
	Max-Patterns are frequent itemsets $X$ for which no frequent superset $Y \supset X$ exists. When the minimum support ($\text{minsup}$) is low, there can be an exponential number of frequent itemsets. Mining max-patterns significantly reduces the number of patterns and rules needed to represent the data, addressing the combinatorial complexity.
	SA 51
	Freq. Patterns
	Define the Apriori Property (Anti-monotonicity) of frequent patterns and explain its role in the Apriori algorithm.
	The Apriori Property states that any subset of a frequent itemset must also be frequent. Its role is the pruning principle: if an itemset fails to be frequent (is not "large"), then all of its supersets must also be infrequent, allowing the algorithm to avoid generating or testing those supersets, thus speeding up the search.
	SA 52
	Freq. Patterns
	Define Lift and explain what values of Lift $> 1$, Lift $= 1$, and Lift $< 1$ indicate.
	Lift measures the correlation between two itemsets $A$ and $B$, calculated as $\text{Lift} = \frac{P(A \cup B)}{P(A) P(B)}$. If Lift $= 1$, $A$ and $B$ are independent; if Lift $> 1$, they are positively correlated; and if Lift $< 1$, they are negatively correlated.
	SA 53
	Freq. Patterns
	Why is the property of Null Invariance important for an association rule interestingness measure, and why do simple measures like Lift often fail to satisfy it?
	Null Invariance is the property that a measure's value does not change based on the number of transactions containing neither item ("null transactions"). It is important because it ensures the measure is stable and not sensitive to fluctuations in the total number of transactions. Lift fails to satisfy this property, which means it can be misleading (e.g., suggesting a rule is strong when it may be neutral).
	SA 54
	Freq. Patterns
	What is the distinction between (relative) support and confidence for an association rule $X \to Y$?
	(Relative) Support ($s$) is the fraction of transactions that contain both $X$ and $Y$ ($X \cup Y$), representing the probability $P(X \cup Y)$. Confidence ($c$) is the conditional probability that a transaction contains $Y$ given that it contains $X$, representing $P(Y
	This comprehensive set of practice questions continues the preparation for your final exam, covering the breadth of the course material, organized by topic, ensuring coverage of key concepts and details necessary for your final exam.
Practice True/False Questions (Continuation: T/F 511-570)
Topic 9: Frequent Pattern Mining & Association Rules (Continuation)
ID
	Topic
	Question
	Answer
	Reasoning
	T/F 511
	Freq. Patterns
	When generating candidate $k$-itemsets from $L_{k-1}$ in the Apriori algorithm, the initial self-joining step is followed by a pruning step that removes itemsets whose proper subsets are already known to be frequent.
	False
	The pruning step removes candidate itemsets whose proper subsets are not found in $L_{k-1}$, based on the anti-monotonicity property.
	T/F 512
	Freq. Patterns
	The confidence of an association rule $X \to Y$ is not a reliable indicator of correlation because it ignores the support of $Y$.
	False
	Confidence is unreliable because it does not take into account the prior probability $P(Y)$, meaning $Y$ might be frequent regardless of $X$.
	T/F 513
	Freq. Patterns
	If we observe Lift $= 0.5$ for the rule $A \to B$, this suggests that customers buying $A$ are less likely to buy $B$ than the general population.
	True
	Lift $< 1$ indicates a negative correlation, meaning $P(B
	T/F 514
	Freq. Patterns
	Swap Randomization is primarily used to assess whether a data mining result is surprising by generating random datasets that maintain the original matrix's marginal distributions (row and column sums).
	True
	Swap randomization creates random datasets maintaining row and column sums (margins) to test significance against randomness.
	T/F 515
	Freq. Patterns
	A key purpose of mining Max-Patterns is to ensure that all frequent itemsets, regardless of length, are found efficiently.
	False
	Max-Patterns aim to reduce the massive number of frequent itemsets by returning only those frequent patterns that have no frequent superset.
	T/F 516
	Freq. Patterns
	The process of generating strong association rules involves iterating through all possible subsets of frequent itemsets and calculating their confidence against a minimum confidence threshold.
	True
	For each frequent itemset, all non-empty subsets are generated, and confidence is computed to output rules above the confidence threshold.
	T/F 517
	Freq. Patterns
	The Apriori algorithm's efficiency relies heavily on the assumption that itemsets must be kept in a specific (e.g., alphabetical) canonical order to avoid generating and counting redundant itemsets.
	True
	If the item ordering is not preserved (e.g., alphabetical order), the algorithm may end up counting redundant itemsets.
	T/F 518
	Freq. Patterns
	The standard join step in Apriori combines two frequent $k$-itemsets if they agree on their first $k-2$ elements.
	False
	Two itemsets of size $k$ can be joined if they agree on their first $k-1$ elements to form a candidate itemset of size $k+1$ (or generally, two itemsets of size $i-1$ are joined if they agree on their first $i-2$ elements to form a candidate of size $i$),.
	T/F 519
	Freq. Patterns
	The Kulczynski measure generally prefers patterns where the presence of one item strongly implies the presence of the other (balanced patterns).
	False
	Kulczynski tends to favor skewed patterns (e.g., advisor-advisee relationships).
	T/F 520
	Freq. Patterns
	Both lift and the $\chi^2$ test are insensitive to null transactions (transactions containing neither item in the rule).
	False
	Lift and $\chi^2$ are not null invariant and can be misleading,.
	Topic 10: Advanced Unsupervised & Dimensionality Reduction (25 Questions)
ID
	Topic
	Question
	Answer
	Reasoning
	T/F 521
	Dim. Reduction
	PCA finds a projection that captures the largest amount of variation in the data and is applicable only to numeric data.
	True
	PCA finds a projection that captures the largest amount of variation in data, and works for numeric data only.
	T/F 522
	Dim. Reduction
	The SVD of a data matrix $X = U \Sigma V^T$ requires that the singular values $\Sigma$ are arranged in ascending order.
	False
	The singular values $\sigma_i$ are non-negative and are typically sorted in descending order.
	T/F 523
	Dim. Reduction
	The Eckart Young Theorem states that the full SVD decomposition is the best possible approximation of the data matrix $X$.
	False
	The Eckart Young Theorem guarantees that the truncated SVD approximation is the best rank $r$ approximation that minimizes the squared error,,.
	T/F 524
	Dim. Reduction
	When using SVD for dimensionality reduction in k-NN, the training data must be decomposed, and the test data must be centered using the training mean before projection.
	True
	We only decompose the training data, and the test data points must be projected to the SVD space using the factor matrix that corresponds to the features,.
	T/F 525
	Dim. Reduction
	Latent Semantic Indexing (LSI) uses SVD to map documents and queries into a higher-dimensional semantic space.
	False
	LSI maps them into a lower-dimensional "concept space".
	T/F 526
	NMF/Autoencoder
	Non-Negative Matrix Factorization (NMF) requires that the decomposed matrices $U$ and $V$ contain only positive or zero elements, which aids in interpretability for "sum-of-parts" representation.
	True
	NMF requires $U, V$ to be element-wise $\geq 0$ and is good for "sum-of-parts" representation.
	T/F 527
	NMF/Autoencoder
	An Autoencoder is an example of a neural network used for supervised classification when the output layer is set to the same size as the input layer.
	False
	An Autoencoder is primarily used for dimensionality reduction (unsupervised) by predicting its own input data,.
	T/F 528
	K-NN/SVD
	In Assignment 2, the K-NN accuracy typically performed worst when the SVD approximation rank ($r$) was set to $r=1$.
	True
	The model generally does not perform as well with just one dimension compared to 2 or 3 components.
	T/F 529
	K-NN/SVD
	Using SVD for dimensionality reduction in k-NN requires centering the training data but not the test data before projection.
	False
	The training data is centered, and the test data must also be centered (using the training mean) before projection onto the reduced space.
	T/F 530
	K-Means
	The time complexity of the K-means algorithm (Lloyd's algorithm) is $O(tkn)$, which is generally efficient because $k$ (number of clusters) and $t$ (iterations) are usually much smaller than $n$ (number of objects).
	True
	K-means is efficient with complexity $O(tkn)$, where $k, t \ll n$.
	T/F 531
	K-Means
	The K-means cost function (SSE) is guaranteed to decrease or stay the same in every iteration until convergence to a global optimum.
	False
	The SSE decreases or stays the same until convergence to a local optimum.
	T/F 532
	K-Medoids
	K-medoids clustering uses the medoid, defined as the data object whose average dissimilarity to all objects in the cluster is minimal, making it an actual data object.
	True
	The medoid is an actual data object whose average dissimilarity to all objects in the cluster is minimal.
	T/F 533
	Hierarchical
	Divisive hierarchical clustering typically employs a computationally expensive strategy of exhaustively checking all possible ways to split a cluster into two.
	False
	Finding the optimal split is expensive, so divisive methods like DIANA use greedy heuristics for partitioning to reduce complexity.
	T/F 534
	Hierarchical
	AGNES (Agglomerative Nesting) uses a bottom-up approach, starting with all points as individual clusters and recursively merging the two clusters with the maximum distance.
	False
	AGNES merges nodes with the least dissimilarity (minimum distance).
	T/F 535
	DBSCAN
	If a point $q$ is a border point in DBSCAN, it must satisfy the core point condition.
	False
	A border point is density-reachable from a core point but does not satisfy the core point condition.
	T/F 536
	DBSCAN
	DBSCAN's "density-reachable" property is symmetric, which is crucial for defining a cluster as a maximal set of density-connected points.
	False
	"Density-reachable" is not symmetric because the starting point must be a core point.
	T/F 537
	Evaluation
	The Hopkins Statistic provides a measure of how well separated the discovered clusters are (cohesion vs separation).
	False
	The Silhouette Coefficient measures cohesion vs. separation. The Hopkins Statistic assesses if non-random structure exists (clustering tendency).
	T/F 538
	Evaluation
	When using the Elbow Method (Knee Finding), one plots the average Silhouette coefficient against $K$ to find the optimal number of clusters.
	False
	The Elbow Method plots the SSE (Sum of Squared Errors) against $K$.
	T/F 539
	Evaluation
	Extrinsic clustering evaluation methods require the availability of ground truth labels for comparison.
	True
	Extrinsic (supervised) methods compare a clustering against the ground truth.
	T/F 540
	Evaluation
	The two basic constraints required for any clustering evaluation metric are Cluster Homogeneity (clusters shouldn't mix categories) and Cluster Completeness (same category items go together).
	True
	Homogeneity and Completeness are the most basic restrictions any evaluation metric must hold,.
	T/F 541
	Freq. Patterns
	The $L_0$ "pseudonorm" (counting non-zero entries) is often relaxed using $L_1$ regularization because optimizing for $L_0$ is computationally hard.
	True
	$L_1$ norm is a convex relaxation of the $L_0$ pseudonorm, which is very computationally hard to optimize.
	T/F 542
	Regularization
	Ridge regression ($L_2$ penalty) is often preferred over Lasso ($L_1$ penalty) because it guarantees a sparse solution where many coefficients are exactly zero.
	False
	Lasso ($L_1$) encourages sparsity (exactly zero coefficients); Ridge ($L_2$) typically yields small but non-zero values,.
	T/F 543
	Supervised
	The Perceptron performs linear regression if the activation function is the sigmoid function.
	False
	Perceptron performs linear regression if activation is $f(x)=x$, and performs logistic regression if activation is sigmoid.
	T/F 544
	Supervised
	When evaluating a classifier using a Precision-Recall (PR) curve, increasing the classification probability threshold generally results in higher precision and lower recall.
	True
	A higher threshold means greater confidence, resulting in higher precision and lower recall.
	T/F 545
	Logistics
	The final exam contributes $20%$ to the overall grade.
	False
	The final exam contributes $35%$ of the grade.
	Topic 11: Miscellaneous Advanced Concepts, Evaluation, and Logistics (25 Questions)
ID
	Topic
	Question
	Answer
	Reasoning
	T/F 546
	Freq. Patterns
	Null invariance is a desirable property for interestingness measures because it ensures the measure is sensitive to fluctuations in the total number of transactions.
	False
	Null invariance means the measure value does not change with the number of null transactions, offering stability against total transaction fluctuations.
	T/F 547
	Logistic Regression
	Since the decision boundary of Logistic Regression is defined by $\theta^T x > 0$, the resulting boundary is necessarily linear in the feature space $X$.
	True
	The decision rule for $Y=1$ leads to a condition that defines a linear decision boundary.
	T/F 548
	Evaluation
	In $k$-fold cross-validation, the portion of data used for testing (the size of one fold) changes in size in each iteration.
	False
	The data is partitioned into $k$ mutually exclusive subsets of approximately equal size, so the size of the test set remains approximately constant.
	T/F 549
	Evaluation
	The F-score is calculated as the arithmetic mean of precision and recall.
	False
	The F-score is the harmonic mean of precision and recall.
	T/F 550
	Clustering
	The time complexity of K-medoids (PAM algorithm) does not scale well for large datasets because it checks all substitutions of medoids with non-medoids at every iteration.
	True
	PAM does not scale well for large data sets because it checks all substitutions of medoids with non-medoids at every iteration.
	T/F 551
	Datasets
	For the Iris dataset used in the assignments, the pair of features (petal length, sepal width) showed high visual separability of the classes.
	True
	The pair (petal length, sepal width) was recalled from Assignment 1 as showing high visual separability.
	T/F 552
	Regression
	If the learning rate $\alpha$ in Gradient Descent is too small, the algorithm may converge quickly but may also miss the minimum.
	False
	A small $\alpha$ leads to slow convergence.
	T/F 553
	Regression
	The probabilistic interpretation of Linear Regression that uses the Least Mean Squares objective function assumes that the error term $\epsilon^{(i)}$ is IID according to a Bernoulli distribution.
	False
